LogID,lat,lon,alt,time
320,52.391525,13.039056667,56.8,2023-01-20T15:35:05.000Z
321,52.391525,13.039056667,56.8,2023-01-20T15:35:05.000Z
322,52.3916,13.039048333,54.7,2023-01-20T15:35:10.000Z
323,52.391625,13.039058333,54.6,2023-01-20T15:35:12.000Z
324,52.391625,13.039058333,54.6,2023-01-20T15:35:12.000Z
325,52.391635,13.039,61.6,2023-01-20T15:35:16.000Z
326,52.391653333,13.038986667,65.3,2023-01-20T15:35:18.000Z
327,52.391671667,13.038976667,63.4,2023-01-20T15:35:19.000Z
328,52.39171,13.038968333,60.7,2023-01-20T15:35:22.000Z
329,52.391743333,13.038995,59.6,2023-01-20T15:35:24.000Z
330,52.391768333,13.039015,59.6,2023-01-20T15:35:26.000Z
331,52.391786667,13.039003333,60.7,2023-01-20T15:35:28.000Z
332,52.391825,13.039013333,57.9,2023-01-20T15:35:30.000Z
333,52.391883333,13.039058333,53.9,2023-01-20T15:35:32.000Z
334,52.391913333,13.039061667,50.9,2023-01-20T15:35:34.000Z
335,52.391926667,13.039051667,53.6,2023-01-20T15:35:36.000Z
336,52.391955,13.039056667,54.4,2023-01-20T15:35:38.000Z
337,52.391955,13.039056667,54.4,2023-01-20T15:35:38.000Z
338,52.392006667,13.03906,54.0,2023-01-20T15:35:42.000Z
339,52.39203,13.039083333,55.6,2023-01-20T15:35:44.000Z
340,52.39203,13.039083333,55.6,2023-01-20T15:35:44.000Z
341,52.392113333,13.039113333,49.4,2023-01-20T15:35:49.000Z
342,52.392135,13.03912,48.6,2023-01-20T15:35:50.000Z
343,52.392135,13.03912,48.6,2023-01-20T15:35:50.000Z
344,52.3922,13.039138333,40.5,2023-01-20T15:35:55.000Z
345,52.392221667,13.039173333,38.8,2023-01-20T15:35:57.000Z
346,52.392231667,13.039191667,38.6,2023-01-20T15:35:58.000Z
347,52.392248333,13.039248333,37.4,2023-01-20T15:36:01.000Z
348,52.39225,13.039286667,35.2,2023-01-20T15:36:03.000Z
349,52.392263333,13.039328333,34.0,2023-01-20T15:36:05.000Z
350,52.392271667,13.03937,33.4,2023-01-20T15:36:07.000Z
351,52.392278333,13.039418333,32.8,2023-01-20T15:36:09.000Z
352,52.392276667,13.039458333,31.6,2023-01-20T15:36:11.000Z
353,52.392276667,13.039458333,31.6,2023-01-20T15:36:11.000Z
354,52.392291667,13.039533333,30.7,2023-01-20T15:36:15.000Z
